ID,cell_type,fraction
GSM4331587,T.cells.CD4.memory.resting,0.018703181
GSM4331588,T.cells.CD4.memory.resting,0.143890533
GSM4331589,T.cells.CD4.memory.resting,0
GSM4331590,T.cells.CD4.memory.resting,0
GSM4331591,T.cells.CD4.memory.resting,0
GSM4331592,T.cells.CD4.memory.resting,0.033452947
GSM4331593,T.cells.CD4.memory.resting,0.022609838
GSM4331594,T.cells.CD4.memory.resting,0
GSM4331595,T.cells.CD4.memory.resting,0
GSM4331596,T.cells.CD4.memory.resting,0
GSM4331597,T.cells.CD4.memory.resting,0
GSM4331598,T.cells.CD4.memory.resting,0.078930031
GSM4331599,T.cells.CD4.memory.resting,0
GSM4331600,T.cells.CD4.memory.resting,0.010179177
GSM4331601,T.cells.CD4.memory.resting,0
GSM4331602,T.cells.CD4.memory.resting,0
GSM4331603,T.cells.CD4.memory.resting,0
GSM2198196,T.cells.CD4.memory.activated,0
GSM2198197,T.cells.CD4.memory.activated,0.049085847
GSM2198198,T.cells.CD4.memory.activated,0.017904605
GSM2198199,T.cells.CD4.memory.activated,0
GSM2198200,T.cells.CD4.memory.activated,0
GSM2198201,T.cells.CD4.memory.activated,0.05291024
GSM4331585,T.cells.CD4.memory.activated,0
GSM4331586,T.cells.CD4.memory.activated,0.019514913
GSM4331587,T.cells.CD4.memory.activated,0
GSM4331588,T.cells.CD4.memory.activated,0
GSM4331589,T.cells.CD4.memory.activated,0.026510706
GSM4331590,T.cells.CD4.memory.activated,0.032745724
GSM4331591,T.cells.CD4.memory.activated,0
GSM4331592,T.cells.CD4.memory.activated,0
GSM4331593,T.cells.CD4.memory.activated,0
GSM4331594,T.cells.CD4.memory.activated,0
GSM4331595,T.cells.CD4.memory.activated,0
GSM4331596,T.cells.CD4.memory.activated,0
GSM4331597,T.cells.CD4.memory.activated,0.050404131
GSM4331598,T.cells.CD4.memory.activated,0.007349317
GSM4331599,T.cells.CD4.memory.activated,0.034615043
GSM4331600,T.cells.CD4.memory.activated,0
GSM4331601,T.cells.CD4.memory.activated,0
GSM4331602,T.cells.CD4.memory.activated,0
GSM4331603,T.cells.CD4.memory.activated,0
GSM2198196,T.cells.follicular.helper,0
GSM2198197,T.cells.follicular.helper,0
GSM2198198,T.cells.follicular.helper,0
GSM2198199,T.cells.follicular.helper,0
GSM2198200,T.cells.follicular.helper,0
GSM2198201,T.cells.follicular.helper,0
GSM4331585,T.cells.follicular.helper,0
GSM4331586,T.cells.follicular.helper,0
GSM4331587,T.cells.follicular.helper,0.035365498
GSM4331588,T.cells.follicular.helper,0.004069507
GSM4331589,T.cells.follicular.helper,0.005911916
GSM4331590,T.cells.follicular.helper,0.025013756
GSM4331591,T.cells.follicular.helper,0
GSM4331592,T.cells.follicular.helper,0
GSM4331593,T.cells.follicular.helper,0.004527854
GSM4331594,T.cells.follicular.helper,0.095120414
GSM4331595,T.cells.follicular.helper,0.050089125
GSM4331596,T.cells.follicular.helper,0.024484377
GSM4331597,T.cells.follicular.helper,0
GSM4331598,T.cells.follicular.helper,0
GSM4331599,T.cells.follicular.helper,0
GSM4331600,T.cells.follicular.helper,0.038812559
GSM4331601,T.cells.follicular.helper,0.090945226
GSM4331602,T.cells.follicular.helper,0
GSM4331603,T.cells.follicular.helper,0.00565308
GSM2198196,T.cells.regulatory..Tregs.,0.011182025
GSM2198197,T.cells.regulatory..Tregs.,0
GSM2198198,T.cells.regulatory..Tregs.,0
GSM2198199,T.cells.regulatory..Tregs.,0.039024924
GSM2198200,T.cells.regulatory..Tregs.,0.000739536
GSM2198201,T.cells.regulatory..Tregs.,0.00263637
GSM4331585,T.cells.regulatory..Tregs.,0.023787167
GSM4331586,T.cells.regulatory..Tregs.,0
GSM4331587,T.cells.regulatory..Tregs.,0
GSM4331588,T.cells.regulatory..Tregs.,0
GSM4331589,T.cells.regulatory..Tregs.,0
GSM4331590,T.cells.regulatory..Tregs.,0
GSM4331591,T.cells.regulatory..Tregs.,0
GSM4331592,T.cells.regulatory..Tregs.,0.063517701
GSM4331593,T.cells.regulatory..Tregs.,0.041143191
GSM4331594,T.cells.regulatory..Tregs.,0.007418457
GSM4331595,T.cells.regulatory..Tregs.,0.020784825
GSM4331596,T.cells.regulatory..Tregs.,0
GSM4331597,T.cells.regulatory..Tregs.,0
GSM4331598,T.cells.regulatory..Tregs.,0
GSM4331599,T.cells.regulatory..Tregs.,0
GSM4331600,T.cells.regulatory..Tregs.,0.032315627
GSM4331601,T.cells.regulatory..Tregs.,0.002328716
