1,group,score
2,keloid,5.884295067
3,keloid,5.77335117
4,keloid,6.14222098
5,keloid,5.77190348
6,keloid,5.791197445
7,keloid,6.265539649
8,keloid,5.757941651
9,keloid,5.616128518
10,keloid,5.845113582
11,Normal,6.342337215
12,Normal,6.386929404
13,Normal,6.289838615
