,GSM4331587,GSM4331588,GSM4331589,GSM4331592,GSM4331593,GSM4331594,GSM4331595,GSM4331596,GSM4331597,GSM4331599,GSM4331600,GSM4331601,GSM4331602,GSM2198196,GSM2198197,GSM2198198,GSM2198200
CLMN,4.514799263,4.348599263,4.518289263,4.155209263,4.393289263,4.458294263,4.343974263,4.331249263,4.367404263,4.487554263,4.361509263,4.603044263,4.364589263,4.823424237,4.343510587,5.558873437,5.282223737
DMRT1,3.361017088,3.309437088,3.159450421,3.179767088,3.310383754,3.328950421,3.251083754,2.995710421,3.170903754,3.174020421,3.167750421,3.269400421,3.162247088,2.875176512,2.985072512,3.933336412,2.436970412
HPS1,6.570391353,6.667535353,6.644109353,6.491933353,6.309309353,6.422871353,6.680335353,6.487741353,6.465957353,6.495843353,6.505329353,6.451207353,6.502817353,6.566385647,6.661772147,6.738444147,6.555860447
IL13RA1,8.579450377,8.147872877,7.800030377,8.417715377,8.474997877,8.024332877,8.242272877,8.413197877,8.488262877,8.529270377,8.043060377,8.272452877,8.180287877,8.437334873,7.778421373,8.197785623,8.795113123
SLC9A3R2,7.254120566,7.036320566,6.615450566,7.503530566,7.050130566,6.300430566,6.640800566,6.764970566,6.623510566,6.746460566,6.656590566,6.668280566,6.706120566,6.976963434,6.258931434,7.394572434,7.451653434
ELMO3,5.353055292,5.615175292,4.902825292,5.325115292,5.086965292,5.193175292,5.439855292,5.118225292,5.138245292,5.196715292,5.434535292,5.333125292,5.260845292,6.304918708,6.546854708,5.930906708,4.583440308
SLC7A3,2.249719395,2.173489395,2.419589395,2.656989395,2.439319395,2.444139395,2.553829395,2.442839395,2.439319395,2.439319395,2.381399395,2.439319395,2.646449395,2.515752605,1.827944605,2.824616405,2.199056005
RELT,8.41795925,8.35758425,8.50276425,8.51840425,8.52665425,8.42059425,8.58223925,8.36354925,8.35565425,8.30391925,8.49063925,8.38536925,8.52307425,8.28451375,8.68820875,8.32458275,8.40608175
FMNL1,5.051487136,5.114085231,5.089670469,5.084126659,5.045981897,5.135591421,5.144627612,5.026391897,5.090359993,5.066415231,5.120403326,5.108419993,5.107506659,4.778633745,4.537597745,5.492598395,5.964651245
NCAM1,3.974536892,3.585383559,3.571058559,3.599630225,3.544216892,3.689853559,3.711145225,4.009196892,3.752988559,3.688658559,3.673935225,3.572233559,3.644075225,3.389572208,3.838501608,4.025413408,3.668908858
MUC20,2.68881619,2.98811369,2.85511119,2.79577619,2.55333619,2.68023869,2.79465619,2.76381369,2.86903369,2.84045619,2.96115619,2.78066119,2.66211369,2.10013181,3.70307831,3.39363471,3.77396581
OSTF1,8.370404649,8.557614649,8.334334649,8.754684649,8.831084649,8.531224649,8.550174649,8.842604649,8.502084649,8.157624649,8.482724649,8.317994649,8.468134649,8.338408351,8.898775351,7.878234351,8.579040351
TEKT1,2.79254185,2.99893685,2.67167185,2.73619685,2.75027685,2.70916685,2.64213685,2.37531685,2.53742185,2.70709185,2.76845685,2.55331685,2.86062685,3.14668595,3.26027515,2.41715515,2.34850275
PLD4,4.510192167,4.540992167,4.359352167,4.482372167,4.288922167,4.367372167,4.498372167,4.543222167,4.755312167,4.850012167,4.498372167,4.498372167,4.496392167,3.868334233,3.545606533,3.805241833,5.369942133
ADAP1,6.43776675,5.85925175,5.71474675,5.76990175,5.80922175,5.85740675,5.91537175,5.83387675,5.86869675,5.87300675,6.05739675,5.79871175,5.82075175,5.61063925,5.70914575,5.87229525,5.66217585
FOXO1,6.733358325,6.939663325,7.256803325,6.866013325,6.938653325,6.252425825,6.290400825,7.055008325,6.921453325,7.016665825,6.453143325,6.344083325,6.259933325,6.635036175,6.523413175,7.136989175,7.267683175
