,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
LHX8,-4.501319464,4.010514181,-8.339194222,9.60E-09,5.68E-06,10.14413632,down-regulated
NRN1,4.186901895,7.026945008,7.137540836,1.60E-07,4.37E-05,7.458991194,up-regulated
HOXB2,3.971168447,5.854958538,9.262850279,1.26E-09,1.33E-06,12.0643989,up-regulated
COMP,3.807818846,8.5651639,5.107221264,2.70E-05,0.001683702,2.520088685,up-regulated
EMX2,3.657912925,6.084353392,10.97602827,3.88E-11,7.16E-08,15.29906338,up-regulated
SLC14A1,-3.249606773,5.158647592,-13.53946767,3.97E-13,5.87E-09,19.41926513,down-regulated
EPGN,-3.174473591,3.377574265,-8.193343944,1.34E-08,7.06E-06,9.829383523,down-regulated
SAMD5,-3.111034203,7.290146063,-5.875780524,3.70E-06,0.000480435,4.434728788,down-regulated
PAX9,-3.091318166,4.977469103,-10.27929345,1.53E-10,2.26E-07,14.03345957,down-regulated
FOXL2,3.026109824,4.218096692,9.528157449,7.17E-10,8.15E-07,12.59273952,up-regulated
LXN,-2.942386188,6.11213739,-6.526671061,7.16E-07,0.000141097,6.017947935,down-regulated
VCAM1,-2.851981977,5.762167963,-4.920821965,4.39E-05,0.002400157,2.051810505,down-regulated
COL15A1,-2.850670443,8.766838059,-3.967448352,0.000525765,0.013057539,-0.32978935,down-regulated
TM4SF20,-2.836980284,3.803884621,-5.717123792,5.56E-06,0.000595389,4.042668197,down-regulated
LRRC32,2.800872967,8.279786982,11.6899158,1.01E-11,3.73E-08,16.52826309,up-regulated
LEPR,-2.768012829,7.084002745,-8.677309778,4.50E-09,3.17E-06,10.86171329,down-regulated
MXRA5,2.76538795,8.631898065,5.913646405,3.36E-06,0.00045783,4.527985365,up-regulated
FOXF1,-2.678371038,6.773345782,-5.642690765,6.73E-06,0.000681485,3.858050765,down-regulated
RPS4Y1,-2.638084409,7.453355155,-2.118226469,0.044100876,0.177424078,-4.426693852,unchanged
PITX2,2.590744565,4.297408762,4.569277044,0.000109878,0.004522744,1.168540114,up-regulated
GALNT14,-2.561242949,3.746197517,-7.640768423,4.81E-08,1.70E-05,8.608645666,down-regulated
HOXC6,2.552706051,5.777256421,3.445124626,0.00199272,0.031467469,-1.592820859,up-regulated
F3,2.5455062,6.82403423,3.257433663,0.003182448,0.042856428,-2.032517633,up-regulated
CNTN3,2.518777972,5.661949398,6.084313816,2.18E-06,0.00032833,4.946674152,up-regulated
PTGDS,2.508696827,8.438545114,5.858620151,3.87E-06,0.000480435,4.392424704,up-regulated
SLPI,-2.486592969,7.451716663,-4.092756433,0.000380175,0.010531615,-0.020474383,down-regulated
SERPINB2,2.481065762,3.625483852,3.275505219,0.003043123,0.041369118,-1.990586278,up-regulated
C13orf15,-2.429720954,7.658762125,-5.335554537,1.49E-05,0.001173751,3.092373912,down-regulated
MEIS1,2.402050017,4.205790402,8.243325361,1.19E-08,6.78E-06,9.937599425,up-regulated
CYTL1,-2.364559626,6.058504376,-4.470315431,0.000142284,0.005391105,0.920440001,down-regulated
ALPK2,2.35182378,6.376382706,8.220850772,1.26E-08,6.88E-06,9.88898472,up-regulated
HMCN1,2.326160864,6.81169185,5.041796878,3.20E-05,0.001913455,2.355801186,up-regulated
BMP4,-2.309648743,6.282306053,-8.349821359,9.38E-09,5.68E-06,10.16694755,down-regulated
TMEM200A,2.297401984,5.994841862,6.639905721,5.41E-07,0.000115765,6.288604826,up-regulated
SFRP2,2.296685948,8.143392483,3.882447496,0.000654575,0.015353415,-0.538468866,up-regulated
SCN9A,-2.274505064,4.770619561,-4.618897648,9.65E-05,0.004194803,1.293078567,down-regulated
DPP4,2.257458063,7.213031005,3.146971868,0.004177515,0.049903909,-2.286780562,up-regulated
CSTA,-2.239716563,6.602267203,-4.549278402,0.000115771,0.004654987,1.118370818,down-regulated
POSTN,2.204612144,10.54861142,4.496021516,0.000133048,0.005143119,0.984845535,up-regulated
STMN2,2.194271664,5.643290656,3.602475775,0.001339253,0.024620007,-1.21772057,up-regulated
EIF1AY,-2.150126149,5.330512112,-2.419365487,0.023020689,0.125445361,-3.851417389,unchanged
HOXC8,2.142658657,5.58972881,3.313540198,0.002768875,0.038930226,-1.902041426,up-regulated
IGFBP3,2.142242034,10.90317221,5.352314941,1.43E-05,0.001139096,3.134295447,up-regulated
DHCR24,-2.14184342,6.730778852,-5.323882601,1.54E-05,0.001184173,3.063171762,down-regulated
THSD4,-2.131054339,6.053252093,-7.881848047,2.74E-08,1.09E-05,9.146693829,down-regulated
GPX3,-2.086906901,7.081048487,-3.532356694,0.001599513,0.027515721,-1.385540447,down-regulated
SCGB2A2,-2.068401433,6.335674686,-2.147647195,0.041459565,0.171989162,-4.372743464,unchanged
SCGB1D1,-2.060700819,5.723353595,-2.320577001,0.028614191,0.141645069,-4.0455985,unchanged
CDH6,-2.042028338,5.394118097,-3.785660165,0.000839306,0.018154051,-0.774796684,down-regulated
SFRP1,-2.030659586,8.75271485,-2.500334049,0.019206244,0.114670974,-3.688561362,unchanged
C11orf41,1.954750222,5.122564171,7.979203589,2.19E-08,9.50E-06,9.361587726,up-regulated
ANXA3,-1.95426718,5.516892756,-3.477712874,0.001835909,0.03008003,-1.515587167,down-regulated
SIX1,-1.953181887,5.999169199,-2.961748029,0.006548903,0.065092886,-2.704545743,unchanged
SCG5,1.951810915,4.167314544,4.806315107,5.91E-05,0.002932749,1.763966777,up-regulated
FAM198B,1.948071368,7.564509137,3.631379616,0.001244445,0.023551232,-1.148250518,up-regulated
LBH,1.938039632,6.886531022,5.105320905,2.71E-05,0.001683702,2.515318188,up-regulated
SERINC2,-1.929443219,7.42805831,-8.050602991,1.85E-08,8.91E-06,9.518308932,down-regulated
ACAN,1.907537026,6.715915415,4.433186968,0.000156763,0.005705639,0.82747374,up-regulated
FAM107B,-1.905305692,6.697438871,-7.325050186,1.02E-07,3.13E-05,7.89148528,down-regulated
IRX5,1.90493215,7.974431327,5.332227497,1.50E-05,0.001173751,3.084050614,up-regulated
TSPAN8,-1.898583346,4.910220177,-3.254077903,0.003208989,0.043108388,-2.040293965,down-regulated
GALNT12,-1.892822103,5.434815501,-3.609864131,0.001314368,0.024369397,-1.199978569,down-regulated
AVPI1,-1.883119517,8.243673966,-11.24376575,2.32E-11,5.73E-08,15.76790223,down-regulated
RAC2,1.878304858,8.033577204,6.854778441,3.18E-07,7.71E-05,6.7978723,up-regulated
NDN,1.852797158,7.99921593,2.922924453,0.00718776,0.068085594,-2.790623114,unchanged
PLCB4,-1.831982959,6.378028221,-7.758694272,3.65E-08,1.42E-05,8.87288313,down-regulated
MUCL1,-1.830616469,7.937029309,-2.071921048,0.048563483,0.185336411,-4.510557565,unchanged
CD9,-1.825560797,9.098127045,-7.094673521,1.77E-07,4.76E-05,7.359445779,down-regulated
CILP2,1.822372965,4.831082261,2.894862871,0.007685949,0.070151495,-2.852497911,unchanged
MFAP5,1.804995039,9.611630719,2.519981699,0.018373313,0.111959771,-3.648559502,unchanged
FOXF2,-1.80011869,6.865632801,-3.062262146,0.00513671,0.055853685,-2.479245024,unchanged
TFAP2B,-1.785609728,3.324004221,-3.846615063,0.000717763,0.016380187,-0.626129939,down-regulated
CHRNA4,1.783748835,6.346429175,2.47955431,0.020125104,0.117591406,-3.730665075,unchanged
HAND2,1.783512065,5.053843312,6.356833245,1.09E-06,0.000192484,5.609182173,up-regulated
DDX3Y,-1.778645983,5.962641694,-2.370409204,0.025653477,0.132964372,-3.94828319,unchanged
SCGB1D2,-1.778159898,6.373635409,-2.503236565,0.019081033,0.11433569,-3.682663644,unchanged
MEGF6,1.761515366,7.77783965,4.370028891,0.00018484,0.006464782,0.669507119,up-regulated
RSPO2,-1.760272239,2.947167048,-3.92919085,0.000580314,0.014011935,-0.423835457,down-regulated
CCRL1,1.759537214,6.357811966,2.688950094,0.012476655,0.09096108,-3.297164662,unchanged
IRX1,1.754478991,4.759268605,3.683710645,0.001089206,0.021575332,-1.022061146,up-regulated
HAS2,1.753279326,6.013602437,6.046684699,2.40E-06,0.000350507,4.85459835,up-regulated
PSG5,1.744569326,5.86508615,2.87363107,0.008084485,0.072053335,-2.899118631,unchanged
SDC4,-1.739284303,10.13893578,-12.53388124,2.21E-12,1.16E-08,17.89787643,down-regulated
HOXB6,1.732109651,4.995704388,3.804109012,0.00080053,0.017708719,-0.729862998,up-regulated
KIAA1324L,1.70901152,5.141990545,3.696566398,0.00105407,0.021131488,-0.990982642,up-regulated
HOXA10,1.702019636,7.319039321,3.63088509,0.00124601,0.023551232,-1.149440495,up-regulated
TMTC1,-1.696137705,7.371336844,-3.488452565,0.001786911,0.029642241,-1.490080618,down-regulated
RARRES1,-1.68801827,5.457835661,-4.5967488,0.000102268,0.004305442,1.237479439,down-regulated
CHRDL1,-1.682348603,4.676055043,-2.62694717,0.014397421,0.097987457,-3.427604896,unchanged
CCDC85A,1.682080418,5.515007716,2.997333356,0.006011143,0.062116549,-2.625177948,unchanged
NTF3,1.680592086,5.950346316,3.985576422,0.000501715,0.012644695,-0.285159216,up-regulated
NPTX2,1.679051533,4.556626502,3.107950738,0.004595826,0.052120129,-2.375721462,unchanged
PDGFRL,-1.670109711,6.597398305,-2.523077248,0.018245177,0.111720287,-3.642240214,unchanged
ZIM2,1.664517147,5.595991689,2.626335222,0.014417687,0.098012982,-3.428883847,unchanged
OLFML2B,1.662502393,8.257051892,5.319047505,1.55E-05,0.001184173,3.051072894,up-regulated
BEX1,1.649540723,4.597631121,2.798719395,0.009652714,0.079431187,-3.062229663,unchanged
RAB31,1.646363625,8.083417738,7.210032998,1.34E-07,3.89E-05,7.626765563,up-regulated
TBX18,1.643219929,6.578360958,7.639852541,4.82E-08,1.70E-05,8.606585635,up-regulated
DNAJC6,-1.614643846,3.283156935,-7.48061133,7.03E-08,2.35E-05,8.246600772,down-regulated
TNC,1.610990754,9.436851844,6.212395911,1.57E-06,0.000255714,5.259019709,up-regulated
HTR2A,1.607673807,3.614999641,5.699266654,5.82E-06,0.000604242,3.998414734,up-regulated
IL13RA2,1.60734928,3.7670493,2.482332515,0.019999943,0.117045214,-3.72504808,unchanged
EDN1,1.598612114,6.514284289,4.710089126,7.61E-05,0.003511918,1.522124313,up-regulated
PEAR1,-1.598431,5.003212735,-4.137489773,0.000338523,0.009866585,0.090374643,down-regulated
IRX2,1.595838147,5.851385504,4.326526118,0.000207036,0.006937351,0.560845813,up-regulated
OMD,-1.591522858,5.53019768,-2.631911471,0.014233995,0.097467904,-3.417223483,unchanged
ZNF804A,-1.591412923,3.448856663,-5.020379728,3.38E-05,0.001991123,2.301999955,down-regulated
STEAP2,1.591077297,5.448686639,5.523512389,9.16E-06,0.000840343,3.561632732,up-regulated
C15orf48,-1.59077974,5.348629888,-2.50230267,0.019121237,0.114433589,-3.684561699,unchanged
QSOX1,-1.590588185,10.2074098,-8.497585616,6.72E-09,4.32E-06,10.48239444,down-regulated
MEIS2,1.589470081,5.057406705,6.761095323,4.01E-07,9.11E-05,6.576545856,up-regulated
LAMA3,-1.587475719,5.847108758,-4.449467425,0.000150242,0.005558654,0.868229759,down-regulated
HSPB7,1.587087604,3.876493077,6.45203018,8.63E-07,0.000158525,5.838709871,up-regulated
FAT3,1.586414497,6.002774405,4.981400342,3.74E-05,0.002127949,2.204060377,up-regulated
NAV1,1.586071286,6.691121374,11.46880714,1.52E-11,4.50E-08,16.15466018,up-regulated
G0S2,-1.5858242,6.218145662,-2.523792207,0.018215701,0.111720287,-3.640780041,unchanged
MRVI1,1.584747574,5.417993596,5.801410646,4.48E-06,0.000511918,4.25120943,up-regulated
KCNE4,1.584464861,5.996272109,8.029644648,1.95E-08,8.91E-06,9.472382846,up-regulated
LOXL3,-1.580473606,5.221508639,-4.075313006,0.000397756,0.010763335,-0.063641522,down-regulated
VCAN,1.577571879,9.556814336,4.486069457,0.00013655,0.005213969,0.95990739,up-regulated
SNCA,-1.576226068,6.71268147,-6.549282531,6.77E-07,0.000135216,6.072116901,down-regulated
COL5A3,1.564811903,7.123163279,4.2802092,0.000233584,0.007619571,0.445301147,up-regulated
FAM101A,1.561077521,4.993553565,4.353945907,0.000192756,0.006587906,0.629320379,up-regulated
ISG15,1.548512829,11.87030455,1.964527633,0.060490518,0.208458895,-4.699968304,unchanged
APCDD1L,1.537082049,5.05901718,5.399487637,1.26E-05,0.001041771,3.252208899,up-regulated
C5orf13,1.533587525,8.107582605,3.628776184,0.001252708,0.023551232,-1.154514611,up-regulated
TOM1L1,-1.531496658,5.972102469,-5.799280987,4.50E-06,0.000511918,4.245947319,down-regulated
USP53,-1.520435474,7.488479598,-5.411547257,1.22E-05,0.001021139,3.282334504,down-regulated
COL6A1,1.511806817,11.36731638,4.857865376,5.17E-05,0.002689986,1.893553951,up-regulated
ACTC1,1.506861339,3.528040791,4.088669019,0.000384224,0.010592689,-0.030592456,up-regulated
FAM129A,-1.505526214,8.399220717,-7.653540449,4.67E-08,1.70E-05,8.637360385,down-regulated
TBX15,1.504856084,4.76789198,8.645475282,4.83E-09,3.25E-06,10.79487326,up-regulated
P4HA3,1.497599453,6.026429217,2.72718034,0.011414978,0.086413488,-3.215910064,unchanged
MYO1D,1.497332716,6.728189136,7.472405463,7.17E-08,2.35E-05,8.227953096,up-regulated
DACT1,1.496585482,6.050205844,3.662953104,0.001148373,0.022251074,-1.072177407,up-regulated
HHEX,-1.496481103,4.420115299,-3.029151469,0.005566219,0.058637341,-2.553841599,unchanged
C10orf116,-1.496397309,10.20634096,-3.413123149,0.002159336,0.033203445,-1.668419848,down-regulated
ENPP2,1.494632544,8.862742108,4.638943596,9.16E-05,0.004052234,1.343411025,up-regulated
ADRB2,-1.492900548,5.869569956,-5.362531268,1.39E-05,0.001121437,3.159841967,down-regulated
PMAIP1,-1.490663294,5.806596203,-3.57435967,0.001438229,0.025544129,-1.28513565,down-regulated
PLK2,-1.483799747,8.122418829,-4.705790016,7.69E-05,0.003540533,1.511322316,down-regulated
HOXC4,1.477262148,4.764715011,3.419851106,0.002123221,0.032802915,-1.652546446,up-regulated
TGFBI,1.475286503,10.89150815,4.398878696,0.000171443,0.006089935,0.741635134,up-regulated
ASPN,1.475077075,7.037928583,1.905186121,0.068128632,0.222335866,-4.801473436,unchanged
TRPC6,-1.475038845,6.571480189,-6.449132104,8.69E-07,0.000158525,5.831737583,down-regulated
GABBR2,1.471780245,4.17839351,4.939030417,4.18E-05,0.00231445,2.097577359,up-regulated
HOXB7,1.469178446,2.954441867,3.619695772,0.001281952,0.023973924,-1.176352468,up-regulated
ADCY7,1.466081193,5.299761944,7.650210413,4.71E-08,1.70E-05,8.629875877,up-regulated
F7,1.464458519,6.923058188,2.44250987,0.021864611,0.122895915,-3.805198384,unchanged
EYA1,-1.459333502,7.554293114,-4.002725039,0.000479965,0.012270656,-0.242902125,down-regulated
OSR2,1.457938481,7.514324872,3.091710075,0.00478152,0.053365955,-2.412597442,unchanged
RAMP1,-1.45691259,5.394359537,-4.747093648,6.90E-05,0.003243937,1.615114264,down-regulated
TGM2,1.454829518,5.754107636,4.103145057,0.000370071,0.010483945,0.005249917,up-regulated
SSTR1,1.452331422,4.38289929,3.344342792,0.002564439,0.036790989,-1.830050181,up-regulated
CD14,-1.451732254,7.258951737,-4.585490714,0.000105321,0.004384007,1.20922467,down-regulated
GREM1,1.449881724,9.358696258,5.345756716,1.45E-05,0.001152409,3.117893489,up-regulated
PPP1R1B,-1.449018752,5.65000549,-2.27898134,0.031320756,0.148737967,-4.125811024,unchanged
GBP3,1.446476869,6.030605919,2.174423204,0.039179985,0.166896119,-4.323200379,unchanged
ROR2,1.440687701,5.429218504,4.740356902,7.03E-05,0.003265239,1.598183813,up-regulated
ESM1,-1.440668224,3.271970401,-2.460646263,0.020996342,0.120443692,-3.768792848,unchanged
DLX1,-1.437362951,4.206014684,-7.290315634,1.11E-07,3.27E-05,7.811733269,down-regulated
CA13,-1.436163972,5.175958105,-11.01496,3.60E-11,7.16E-08,15.36783115,down-regulated
GPRC5A,-1.421464828,5.276069624,-2.711434215,0.011841545,0.088338751,-3.249451872,unchanged
STAT4,1.411406565,4.626896116,4.806795535,5.91E-05,0.002932749,1.765174438,up-regulated
PODN,1.411298956,7.654595337,5.606935071,7.38E-06,0.00072434,3.769221788,up-regulated
PRPS1,1.410408606,8.927596573,5.591382323,7.68E-06,0.00074221,3.73055571,up-regulated
LMCD1,1.409116368,7.337590342,5.607853788,7.37E-06,0.00072434,3.77150531,up-regulated
KRT5,-1.406779065,8.106974297,-1.489545103,0.148648403,0.346458437,-5.44379081,unchanged
SVIP,-1.403539444,4.241616548,-6.733268082,4.29E-07,9.61E-05,6.510590678,down-regulated
FST,-1.403531413,9.114485023,-5.029591365,3.30E-05,0.001951633,2.325141259,down-regulated
HOXA11,1.40348096,3.166173435,3.614682699,0.001298382,0.024163962,-1.188401628,up-regulated
SPP1,1.403363933,3.830201968,3.296300454,0.002890084,0.040064317,-1.942223863,up-regulated
SLC2A12,-1.399516266,4.991784524,-5.474773626,1.04E-05,0.000918911,3.440144519,down-regulated
IDO1,-1.39862068,5.614013963,-1.855405727,0.075171171,0.234760888,-4.884832739,unchanged
SLIT3,1.39710302,10.15244101,3.16533349,0.003993568,0.048885454,-2.244766172,up-regulated
C1QTNF3,1.39619417,6.016205449,3.452298513,0.00195712,0.0312991,-1.575840105,up-regulated
RHPN2,-1.395010758,5.268500045,-3.953387141,0.0005452,0.013382761,-0.364377806,down-regulated
BMPER,1.39371805,4.779637165,4.469096975,0.000142737,0.005394449,0.917387993,up-regulated
COL13A1,1.390898242,4.159299231,3.471981712,0.001862589,0.030179255,-1.529187775,up-regulated
SHOX2,1.387611431,6.445894787,5.795960542,4.54E-06,0.000512351,4.237742184,up-regulated
OLFML3,1.386070544,10.10510918,4.928263959,4.30E-05,0.002371541,2.070516266,up-regulated
PLXND1,1.385918855,8.679964241,10.78673078,5.60E-11,9.19E-08,14.96178373,up-regulated
MSX1,-1.385729983,5.891920183,-3.27709478,0.003031154,0.041275724,-1.986893698,down-regulated
FN1,1.383360592,12.71442517,3.589074171,0.001385572,0.024969014,-1.249874299,up-regulated
KCNB1,-1.382998015,3.789272495,-6.294574611,1.28E-06,0.000217447,5.458524191,down-regulated
NPR3,-1.380419554,6.22432164,-3.500907829,0.001731679,0.029111511,-1.46046692,down-regulated
CACNA2D3,-1.379633519,4.353862795,-5.25400544,1.84E-05,0.001320419,2.88821577,down-regulated
NMU,-1.376453318,3.568360439,-2.689058157,0.012473528,0.09096108,-3.296935861,unchanged
SEMA3B,-1.37563167,7.74368446,-5.225300051,1.98E-05,0.001375961,2.816284484,down-regulated
PMEPA1,1.374316496,6.104000585,6.590943894,6.10E-07,0.000127031,6.171763455,up-regulated
WFDC1,1.366431366,5.477657438,3.447224006,0.001982238,0.031447071,-1.587852832,up-regulated
GRIN2D,1.364312889,4.444035443,3.106725987,0.004609586,0.052182708,-2.378505305,unchanged
FAM155A,1.358242344,4.854623576,3.292856162,0.002914908,0.040310415,-1.950242223,up-regulated
PCOLCE2,1.355628855,5.724560414,1.387538344,0.177323183,0.383197524,-5.581602181,unchanged
AZGP1,-1.355003433,7.363643271,-2.302937101,0.029734843,0.144432292,-4.079729576,unchanged
PLIN1,-1.3521222,5.073301515,-1.968457892,0.060012254,0.207526129,-4.693164893,unchanged
C10orf58,-1.351621119,6.769114883,-4.476352765,0.000140059,0.00532044,0.935563482,down-regulated
AQP1,1.349817549,7.101713111,2.32044662,0.02862233,0.141645069,-4.045851385,unchanged
ANTXR1,1.349559954,7.89970208,6.213488427,1.57E-06,0.000255714,5.261676701,up-regulated
KRTDAP,-1.348971699,6.409023889,-1.616010364,0.11843767,0.303381657,-5.26169203,unchanged
WISP1,1.34645672,5.896044476,2.774569218,0.01021675,0.081848796,-3.114342334,unchanged
MYEF2,-1.345730121,4.610731709,-6.810558979,3.55E-07,8.32E-05,6.693542574,down-regulated
TRNP1,1.345571893,7.393654871,3.981986411,0.00050639,0.012687677,-0.294000928,up-regulated
RNF182,1.345314999,3.100008711,3.244346078,0.003287171,0.043800291,-2.062827687,up-regulated
MEOX2,1.344957017,5.21947634,2.352513468,0.026682849,0.135795894,-3.98338196,unchanged
HEPH,1.342134063,7.237198469,5.866746546,3.79E-06,0.000480435,4.412461226,up-regulated
ANKRD1,1.342029818,2.87657278,5.685970327,6.02E-06,0.000618142,3.965448112,up-regulated
GFPT2,1.339830668,5.224923746,4.516275502,0.000126193,0.004972693,1.035612215,up-regulated
RGS20,-1.335137508,4.954102648,-5.049384619,3.14E-05,0.001883597,2.374859858,down-regulated
PLXNC1,1.333459421,5.803161684,3.92666015,0.000584113,0.014080654,-0.430049572,up-regulated
IRF6,-1.332575763,6.435437487,-1.905389987,0.068101014,0.222335866,-4.801128664,unchanged
STXBP6,-1.32884674,6.751861923,-3.802429449,0.000803986,0.017758588,-0.733955993,down-regulated
MALL,1.326273266,6.786822896,4.775469111,6.41E-05,0.003075696,1.686431799,up-regulated
HSD11B1,-1.323802142,4.662148237,-2.543813888,0.017407962,0.109288563,-3.599790853,unchanged
LGMN,1.320974526,9.138205461,7.149122857,1.55E-07,4.33E-05,7.485844189,up-regulated
PM20D1,-1.317843851,6.27729279,-1.839319097,0.077577863,0.239205118,-4.911414469,unchanged
GPC3,-1.313024991,8.074759552,-2.667095413,0.01312449,0.09353174,-3.343333788,unchanged
C12orf75,1.312078786,9.577215221,6.837712559,3.32E-07,7.91E-05,6.757637275,up-regulated
TMEM119,1.308698638,8.325070478,4.107317064,0.000366089,0.01041789,0.015583865,up-regulated
LGR5,-1.308332588,4.311241325,-4.235337194,0.00026252,0.008378512,0.33351863,down-regulated
SRPX2,1.307747873,6.893817721,5.106313373,2.70E-05,0.001683702,2.517809607,up-regulated
ODZ3,1.299209011,6.705250271,3.982477294,0.000505748,0.012687677,-0.292792044,up-regulated
ADIPOQ,-1.298120923,5.434046025,-1.93469682,0.064230892,0.215288584,-4.751281479,unchanged
PPP1R14A,1.291181474,11.07500048,4.351592767,0.000193942,0.006587906,0.623441974,up-regulated
TCF4,1.288062208,9.004074682,8.020258726,1.99E-08,8.91E-06,9.451794597,up-regulated
SHANK2,-1.284212855,4.792620634,-5.295989944,1.65E-05,0.001231822,2.993361049,down-regulated
FAP,1.283068645,7.694912281,2.773264341,0.010248094,0.082034715,-3.117151376,unchanged
BAALC,1.282606447,6.298014977,5.841803395,4.04E-06,0.000489218,4.350943129,up-regulated
WISP2,1.282299236,9.011003821,1.991604733,0.057262423,0.202383838,-4.652896482,unchanged
KCND2,1.279945714,4.297418814,4.0671541,0.000406254,0.010878747,-0.083820801,up-regulated
PDE1C,-1.268275807,4.441694863,-3.328767905,0.002665913,0.037915491,-1.866482701,down-regulated
EBF1,1.268050379,7.23225874,3.527577786,0.001618944,0.027648683,-1.396940112,up-regulated
NOX4,1.263552649,4.057718853,4.556592525,0.00011358,0.004618214,1.136717584,up-regulated
STC1,1.255780807,5.870724209,2.065825613,0.04917992,0.186622082,-4.521500137,unchanged
HOXB3,1.253450479,5.635877173,5.835208846,4.11E-06,0.000493498,4.334669902,up-regulated
TFAP2C,-1.25001787,6.717875617,-5.58020171,7.91E-06,0.000758959,3.702749081,down-regulated
SYNGR2,-1.245982328,8.691543651,-6.094329122,2.12E-06,0.000323396,4.97115749,down-regulated
PRKAR2B,-1.243348641,5.86934204,-4.155307095,0.000323221,0.009688111,0.134582561,down-regulated
SULF1,1.241027821,8.990418423,1.972429906,0.059532286,0.206504365,-4.686279135,unchanged
ZBED3,-1.240504679,6.788374655,-5.945462954,3.10E-06,0.000433764,4.606244727,down-regulated
PADI2,-1.235645603,5.872806351,-2.328904846,0.028098633,0.140310393,-4.029427051,unchanged
C8orf4,1.232665246,3.223664276,3.031040522,0.005540818,0.058496592,-2.549595518,unchanged
CLCA2,-1.230119317,5.28628063,-2.298186783,0.030043387,0.144892665,-4.088892144,unchanged
CAB39L,-1.2289142,5.885226413,-5.698454103,5.83E-06,0.000604242,3.996400495,down-regulated
ADAMTSL1,1.223139862,5.556254275,4.221423053,0.000272195,0.008603909,0.298890293,up-regulated
HOXC10,1.218378779,5.764749962,2.583883983,0.015890398,0.103853344,-3.51719341,unchanged
EN1,1.215877029,7.035620075,2.655719046,0.013474061,0.094812473,-3.367284825,unchanged
RASA4,1.211957563,7.286380735,4.685656743,8.11E-05,0.003708701,1.460739672,up-regulated
MAFB,1.211137941,7.487822148,6.462484135,8.40E-07,0.000158525,5.863852316,up-regulated
MUC7,-1.209913141,5.036321877,-3.178855205,0.003863111,0.04808304,-2.213760971,down-regulated
ADAMTS12,1.20902748,5.066541285,3.444553282,0.001995583,0.031467469,-1.59417272,up-regulated
DUSP6,-1.205210418,7.374900506,-5.009226827,3.48E-05,0.002033693,2.273979764,down-regulated
CHST15,-1.202001679,4.907927233,-5.511573532,9.44E-06,0.000861315,3.531887021,down-regulated
AHNAK2,1.200101404,9.910404475,2.802630162,0.00956419,0.079043641,-3.053768802,unchanged
BEND6,1.198085338,4.963494809,2.707128386,0.011960772,0.088727072,-3.258605776,unchanged
SCUBE3,1.1967434,6.007098849,3.941545615,0.000562115,0.013747908,-0.393485887,up-regulated
CLGN,-1.194016188,4.190813112,-1.631125649,0.115193922,0.298321168,-5.23911882,unchanged
PITX1,-1.192781178,3.583867125,-4.367768742,0.000185933,0.006464782,0.663858653,down-regulated
HSPB8,1.191993467,6.993779487,2.228929752,0.034884824,0.156867953,-4.221069809,unchanged
ZNF281,1.189541448,7.647289137,8.853703047,3.05E-09,2.37E-06,11.22935117,up-regulated
STEAP1,1.189089209,4.943349824,5.234491024,1.94E-05,0.001356205,2.839319194,up-regulated
NNMT,1.187906182,10.15198283,4.406931782,0.000167879,0.00597948,0.761777762,up-regulated
CCBE1,-1.1874742,6.494870528,-3.672579509,0.001120553,0.02193167,-1.048945776,down-regulated
C21orf91,-1.186762031,6.67914341,-5.734821916,5.31E-06,0.000577301,4.086503347,down-regulated
MOXD1,1.186270213,8.34205076,3.141766462,0.004231126,0.050300364,-2.298672607,unchanged
DACT3,1.184317139,6.794228158,7.200253072,1.37E-07,3.90E-05,7.604172769,up-regulated
CCDC80,1.1826467,9.202185138,8.921953103,2.63E-09,2.16E-06,11.37036228,up-regulated
FAM19A5,1.18224783,5.093387189,5.859846749,3.86E-06,0.000480435,4.395449382,up-regulated
RUNX1T1,1.179836094,6.408815704,7.069549195,1.88E-07,4.89E-05,7.300988092,up-regulated
HMGCS2,-1.177715537,5.954864131,-2.083847543,0.047377198,0.183069025,-4.489081475,unchanged
TFCP2L1,-1.177554539,5.210903092,-2.237804781,0.034227227,0.154766138,-4.204280635,unchanged
IFI30,1.177034337,8.034741596,3.236620423,0.003350541,0.044364644,-2.080697104,up-regulated
CLDN11,1.176780197,4.766558656,2.194321699,0.037559631,0.163192786,-4.286113047,unchanged
HOXC9,1.176593417,5.081533838,2.550182973,0.017158069,0.108213739,-3.58671214,unchanged
DPT,1.170795311,7.86498507,4.599009159,0.000101666,0.004305442,1.243152819,up-regulated
PAM,1.168715084,9.463900365,7.038441876,2.03E-07,5.18E-05,7.228492839,up-regulated
PDGFC,1.168472012,7.058704819,4.099032811,0.000374038,0.01048798,-0.0049342,up-regulated
PCDH18,1.167946195,6.742447105,5.911842731,3.38E-06,0.00045783,4.523546133,up-regulated
WNT2,1.167903896,3.338696492,3.19199487,0.003740274,0.04733857,-2.183579388,up-regulated
MYO1E,1.166155457,7.867504219,5.453753451,1.10E-05,0.000947565,3.387704593,up-regulated
SOSTDC1,-1.163654213,6.316073794,-1.863828961,0.073936945,0.232559863,-4.870844307,unchanged
TMEM213,-1.162940766,4.372704051,-2.242580835,0.033878008,0.153972353,-4.195227327,unchanged
