,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
CENPW,-0.473943061,5.824870717,-1.838179307,0.077750881,0.239614494,-4.91329121,unchanged
ELF4,0.473838199,6.428299796,2.259587339,0.032660569,0.151532058,-4.162887048,unchanged
FOXO1,0.473648532,6.878884509,3.601899542,0.001341213,0.024620007,-1.219103845,unchanged
CCDC102A,0.473517975,5.475798624,2.41319499,0.023338269,0.126269342,-3.863694084,unchanged
TTC39B,-0.473250707,5.85573054,-4.100598745,0.000372523,0.010483945,-0.001056323,unchanged
ADAM15,-0.473103766,8.11770625,-4.315309737,0.000213176,0.007094825,0.532850481,unchanged
KRT15,-0.473083513,8.919712006,-5.466516737,1.06E-05,0.000929225,3.419548804,unchanged
GJA5,0.473006424,4.525333567,2.099145363,0.04589341,0.18000084,-4.4614083,unchanged
PLOD1,0.472960241,8.955100638,2.908248259,0.007444356,0.069432335,-2.823019836,unchanged
USP35,0.472335242,6.747005533,6.065097207,2.29E-06,0.000337842,4.899669732,unchanged
TF,-0.472201914,3.707999408,-1.437010509,0.162911291,0.364693251,-5.515797897,unchanged
RANBP17,-0.471993957,4.388486149,-2.675348801,0.012876218,0.092589721,-3.325922366,unchanged
OR4D10,0.47168973,6.141027216,2.096876198,0.046110852,0.180211601,-4.465522065,unchanged
CACNG7,0.471636938,3.051983367,2.733284476,0.011253534,0.085630006,-3.202879291,unchanged
PTGER2,-0.471374564,5.42150486,-1.801458684,0.083505802,0.249185225,-4.973278767,unchanged
ADARB1,0.471360811,6.10469088,5.03303454,3.27E-05,0.001949786,2.333790725,unchanged
SIGLEC1,0.471341138,4.4743062,1.896829714,0.069269134,0.224211139,-4.815581892,unchanged
F11R,-0.471284273,5.42022197,-1.879330848,0.071711346,0.228921701,-4.844975751,unchanged
SPAG16,-0.4711456,6.608294997,-3.602139112,0.001340398,0.024620007,-1.218528753,unchanged
RAB27B,-0.47111215,5.573117434,-2.235305944,0.034411235,0.155170833,-4.209012242,unchanged
DCXR,-0.471073262,9.233752342,-2.184335889,0.038365082,0.165113979,-4.304753408,unchanged
GPR171,0.470500515,3.672733971,2.404126244,0.02381233,0.127664196,-3.881701898,unchanged
GCHFR,-0.470423306,5.249288402,-2.071376792,0.048618243,0.185417718,-4.511535542,unchanged
SESN3,-0.470377269,6.243775342,-2.079694149,0.047787359,0.183898011,-4.496570332,unchanged
ZNF323,-0.470172385,3.880584344,-3.365524654,0.002432418,0.035765013,-1.780401118,unchanged
CD86,-0.469801307,5.335048792,-2.716289365,0.011708446,0.087647269,-3.239120745,unchanged
CHST2,0.469670089,4.616690244,1.285922553,0.210061576,0.422323797,-5.710524156,unchanged
ANKRD9,-0.469633889,7.176116615,-3.086189815,0.00484626,0.053885012,-2.425112489,unchanged
TRIP13,-0.469399104,5.47851379,-1.711540995,0.099158895,0.27311668,-5.11620489,unchanged
C10orf95,-0.469327609,5.42643501,-2.307946577,0.029412595,0.143536962,-4.070053902,unchanged
METAP2,-0.469293734,8.381863847,-5.192717435,2.16E-05,0.001449998,2.734599259,unchanged
UBE2D1,0.469229188,8.150056381,5.697527871,5.85E-06,0.000604242,3.994104393,unchanged
DKK2,0.469087993,5.777808524,0.972176848,0.340123788,0.55916857,-6.053059312,unchanged
DYNLL2,-0.469017949,8.379431167,-3.847779228,0.000715619,0.016378618,-0.623284933,unchanged
ASPRV1,-0.468851262,6.151405649,-1.099365151,0.281912698,0.50076018,-5.924585474,unchanged
CROT,-0.468675883,5.49439659,-3.493136219,0.001765944,0.029419784,-1.478948838,unchanged
CDON,0.467775628,5.172122186,1.922891069,0.06576616,0.218093928,-4.7714293,unchanged
EPHA1,-0.46774823,4.781103103,-1.83078119,0.078882014,0.241683499,-4.925451196,unchanged
BTN3A2,0.467656223,5.71478349,1.660039595,0.109195201,0.288760306,-5.195467949,unchanged
KLRD1,0.467617037,3.148829071,2.370065333,0.025672909,0.133018433,-3.9489592,unchanged
EXOSC8,-0.467485736,8.057704705,-3.097739449,0.004711757,0.052947249,-2.398916996,unchanged
MYO9B,0.467403853,6.396219975,4.556841496,0.000113506,0.004618214,1.137342138,unchanged
TMEM71,-0.467355256,3.850045052,-2.471115308,0.020509742,0.119000856,-3.74770392,unchanged
CCDC89,0.466997752,3.669508696,5.569216103,8.14E-06,0.000768679,3.675419214,unchanged
MAPRE2,0.466634556,7.372260989,4.162182387,0.000317501,0.009576592,0.151649677,unchanged
RAD18,-0.466419383,4.200592331,-2.937746513,0.00693716,0.067000267,-2.757824597,unchanged
RTN4IP1,-0.46641047,4.417164828,-3.455684381,0.001940534,0.031168768,-1.56782148,unchanged
